"id","created_at","name","has_test","alternate_url"
"125272000","2025-09-12T13:08:57+0300","Senior Frontend Engineer",false,"https://hh.ru/vacancy/125272000"
"125257583","2025-09-12T09:17:43+0300","Аналитик данных (Senior)",false,"https://hh.ru/vacancy/125257583"
"125331492","2025-09-15T13:31:46+0300","Разработчик Power BI",false,"https://hh.ru/vacancy/125331492"
"124959468","2025-09-05T17:55:32+0300","Стажер в команду аналитики сервиса путешествий",false,"https://hh.ru/vacancy/124959468"
"125045803","2025-09-08T15:57:46+0300","Системный аналитик",false,"https://hh.ru/vacancy/125045803"
"125316898","2025-09-15T10:24:27+0300","Инженер DevOps",true,"https://hh.ru/vacancy/125316898"
"125231044","2025-09-11T14:59:15+0300","IT BP / Business Partner",false,"https://hh.ru/vacancy/125231044"
"121091720","2025-09-15T10:24:59+0300","Intern Data Analyst / Стажер - аналитик данных",false,"https://hh.ru/vacancy/121091720"
"124514225","2025-08-26T23:57:23+0300","Директор по цифровой трансформации",false,"https://hh.ru/vacancy/124514225"
"125146560","2025-09-10T11:51:29+0300","Бизнес-аналитик",false,"https://hh.ru/vacancy/125146560"
"125287614","2025-09-12T17:59:32+0300","Менеджер проектов",false,"https://hh.ru/vacancy/125287614"
"125227762","2025-09-11T14:06:53+0300","Golang developer",true,"https://hh.ru/vacancy/125227762"
"125109349","2025-09-09T15:22:49+0300","Java-разработчик (middle+), финтех",false,"https://hh.ru/vacancy/125109349"
"125322760","2025-09-15T11:35:24+0300","Разработчик скоринговой модели (data scientist)",false,"https://hh.ru/vacancy/125322760"
"125158587","2025-09-10T14:16:46+0300","Руководитель группы продаж B2B",false,"https://hh.ru/vacancy/125158587"
"125099829","2025-09-09T13:13:00+0300","Front-end developer (React)",false,"https://hh.ru/vacancy/125099829"
"125136740","2025-09-10T09:56:12+0300","Аналитик продаж",false,"https://hh.ru/vacancy/125136740"
"125204343","2025-09-11T10:40:23+0300","Teamlead/Python разработчик",false,"https://hh.ru/vacancy/125204343"
"125087721","2025-09-09T10:34:12+0300","Аналитик отдела товародвижения",false,"https://hh.ru/vacancy/125087721"
"124296702","2025-08-20T19:05:47+0300","Data Analyst (Junior) | Аналитик Данных (Младший)",false,"https://hh.ru/vacancy/124296702"
